TP,TN,FP,FN,NR,Accuracy,Recall,Precission
269.0,346.0,6.0,71.0,14.0,0.8711048158640227,0.9781818181818182,0.7911764705882353
271.0,346.0,7.0,71.0,11.0,0.8739376770538244,0.9748201438848921,0.7923976608187134
265.0,347.0,5.0,76.0,13.0,0.8668555240793201,0.9814814814814815,0.7771260997067448
266.0,347.0,4.0,79.0,10.0,0.8682719546742209,0.9851851851851852,0.7710144927536232
264.0,347.0,4.0,75.0,16.0,0.8654390934844193,0.9850746268656716,0.7787610619469026
269.0,345.0,5.0,71.0,16.0,0.8696883852691218,0.9817518248175182,0.7911764705882353
268.0,345.0,6.0,75.0,12.0,0.8682719546742209,0.9781021897810219,0.7813411078717201
266.0,347.0,6.0,75.0,12.0,0.8682719546742209,0.9779411764705882,0.7800586510263929
268.0,346.0,5.0,74.0,13.0,0.8696883852691218,0.9816849816849816,0.783625730994152
271.0,345.0,5.0,71.0,14.0,0.8725212464589235,0.9818840579710145,0.7923976608187134
267.0,346.0,6.0,76.0,11.0,0.8682719546742209,0.978021978021978,0.7784256559766763
269.0,347.0,4.0,75.0,11.0,0.8725212464589235,0.9853479853479854,0.7819767441860465
266.0,346.0,5.0,72.0,17.0,0.8668555240793201,0.981549815498155,0.7869822485207101
271.0,348.0,4.0,73.0,10.0,0.876770538243626,0.9854545454545455,0.7877906976744186
264.0,346.0,4.0,80.0,12.0,0.8640226628895185,0.9850746268656716,0.7674418604651163
264.0,346.0,6.0,76.0,14.0,0.8640226628895185,0.9777777777777777,0.7764705882352941
270.0,346.0,5.0,74.0,11.0,0.8725212464589235,0.9818181818181818,0.7848837209302325
264.0,347.0,6.0,81.0,8.0,0.8654390934844193,0.9777777777777777,0.7652173913043478
271.0,346.0,5.0,72.0,12.0,0.8739376770538244,0.9818840579710145,0.7900874635568513
270.0,344.0,4.0,74.0,14.0,0.8696883852691218,0.9854014598540146,0.7848837209302325
267.65,346.15,5.1,74.55,12.55,0.8694050991501415,0.9813107846355639,0.7821617749446679
