TP,TN,FP,FN,NR,Accuracy,Recall,Precission
28.0,326.0,7.0,268.0,77.0,0.5014164305949008,0.8,0.0945945945945946
31.0,323.0,5.0,262.0,85.0,0.5014164305949008,0.8611111111111112,0.10580204778156997
22.0,326.0,2.0,277.0,79.0,0.49291784702549574,0.9166666666666666,0.07357859531772576
22.0,330.0,4.0,287.0,63.0,0.4985835694050991,0.8461538461538461,0.07119741100323625
23.0,337.0,2.0,275.0,69.0,0.509915014164306,0.92,0.07718120805369127
18.0,335.0,4.0,282.0,67.0,0.5,0.8181818181818182,0.06
23.0,322.0,4.0,252.0,105.0,0.4886685552407932,0.8518518518518519,0.08363636363636363
17.0,330.0,3.0,271.0,85.0,0.4915014164305949,0.85,0.059027777777777776
19.0,324.0,2.0,274.0,87.0,0.48583569405099153,0.9047619047619048,0.06484641638225255
18.0,326.0,3.0,266.0,93.0,0.48725212464589235,0.8571428571428571,0.06338028169014084
25.0,331.0,3.0,269.0,78.0,0.5042492917847026,0.8928571428571429,0.08503401360544217
17.0,328.0,3.0,270.0,88.0,0.4886685552407932,0.85,0.059233449477351915
15.0,323.0,6.0,268.0,94.0,0.47875354107648727,0.7142857142857143,0.053003533568904596
26.0,325.0,8.0,276.0,71.0,0.4971671388101983,0.7647058823529411,0.08609271523178808
26.0,328.0,4.0,282.0,66.0,0.5014164305949008,0.8666666666666667,0.08441558441558442
31.0,320.0,5.0,252.0,98.0,0.4971671388101983,0.8611111111111112,0.10954063604240283
24.0,322.0,3.0,285.0,72.0,0.49008498583569404,0.8888888888888888,0.07766990291262135
22.0,333.0,2.0,278.0,71.0,0.5028328611898017,0.9166666666666666,0.07333333333333333
23.0,329.0,3.0,253.0,98.0,0.4985835694050991,0.8846153846153846,0.08333333333333333
30.0,328.0,4.0,258.0,86.0,0.5070821529745042,0.8823529411764706,0.10416666666666667
23.0,327.3,3.85,270.25,81.6,0.49617563739376774,0.8574010227245521,0.07845339324123905
