TP,TN,FP,FN,NR,Accuracy,Recall,Precission
118.0,344.0,2.0,97.0,145.0,0.6543909348441926,0.9833333333333333,0.5488372093023256
124.0,344.0,1.0,99.0,138.0,0.6628895184135978,0.992,0.5560538116591929
118.0,344.0,2.0,100.0,142.0,0.6543909348441926,0.9833333333333333,0.5412844036697247
127.0,344.0,2.0,91.0,142.0,0.6671388101983002,0.9844961240310077,0.5825688073394495
122.0,343.0,3.0,97.0,141.0,0.6586402266288952,0.976,0.5570776255707762
123.0,343.0,2.0,99.0,139.0,0.660056657223796,0.984,0.5540540540540541
121.0,345.0,2.0,103.0,135.0,0.660056657223796,0.983739837398374,0.5401785714285714
128.0,343.0,1.0,96.0,138.0,0.6671388101983002,0.9922480620155039,0.5714285714285714
122.0,344.0,2.0,101.0,137.0,0.660056657223796,0.9838709677419355,0.547085201793722
128.0,343.0,3.0,97.0,135.0,0.6671388101983002,0.9770992366412213,0.5688888888888889
121.0,343.0,2.0,106.0,134.0,0.6572237960339944,0.983739837398374,0.5330396475770925
123.0,345.0,1.0,93.0,144.0,0.6628895184135978,0.9919354838709677,0.5694444444444444
117.0,344.0,3.0,98.0,144.0,0.6529745042492918,0.975,0.5441860465116279
120.0,342.0,2.0,97.0,145.0,0.6543909348441926,0.9836065573770492,0.5529953917050692
121.0,344.0,1.0,99.0,141.0,0.6586402266288952,0.9918032786885246,0.55
121.0,342.0,2.0,93.0,148.0,0.6558073654390935,0.983739837398374,0.5654205607476636
120.0,344.0,2.0,99.0,141.0,0.6572237960339944,0.9836065573770492,0.547945205479452
118.0,345.0,2.0,102.0,139.0,0.6558073654390935,0.9833333333333333,0.5363636363636364
124.0,343.0,2.0,95.0,142.0,0.6614730878186968,0.9841269841269841,0.5662100456621004
120.0,343.0,2.0,97.0,144.0,0.6558073654390935,0.9836065573770492,0.5529953917050692
121.8,343.6,1.95,97.95,140.7,0.6592067988668555,0.9842309660721206,0.5543028757665718
